   32, Ast,   2.725° /  18.783°, Peg,     ,      , 
   33,  D*,   2.725° /   3.667°, Psc,     ,      , 
   17,    ,   2.750° / -12.100°, Cet,     ,      , 
I   2,  Gx,   2.750° / -12.817°, Cet,     ,      , 
   34,  Gx,   2.775° / -12.100°, Cet,     , 13.0m, 
   35,  Gx,   2.800° / -12.000°, Cet,     , 14.0m, 
   37,  Gx,   2.825° / -56.967°, Phe,     ,      , 
   36,  Gx,   2.850° /   6.383°, Psc, 2.4', 15.0m, 
   38,  Gx,   2.975° /  -5.600°, Psc,     , 13.0m, 
I   3,  Gx,   3.025° /  -0.417°, Psc,     ,      , 
   39,  Gx,   3.075° /  31.050°, And,     , 14.0m, 
   41,  Gx,   3.200° /  22.033°, Peg,     , 14.0m, 
   42,  Gx,   3.225° /  22.100°, Peg,     , 15.0m, 
   40,  Pl,   3.250° /  72.533°, Cep, 0.6', 11.0m, 
   43,  Gx,   3.250° /  30.900°, And,     , 14.0m, 
   44,    ,   3.275° /  31.283°, And,     ,      , 
I   4,  Gx,   3.350° /  17.483°, Peg,     ,      , 
I1534,    ,   3.450° /  48.150°, And,     ,      , 
   48,  Gx,   3.500° /  48.233°, And, 1.7', 15.0m, 
I1535,    ,   3.500° /  48.150°, And,     ,      , 
   45,  Gx,   3.525° / -23.183°, Cet, 8.1', 10.4m, 
   46,   *,   3.525° /   5.983°, Psc,     ,      , 
I1536,  Gx,   3.550° /  48.133°, And, 0.7', 15.0m, 
   49,  Gx,   3.575° /  48.233°, And,     , 15.0m, 
   47,  Gx,   3.625° /  -7.183°, Cet,     , 13.0m, 
   58,    ,   3.625° /  -7.167°, Cet,     ,      , 
   51,  Gx,   3.650° /  48.250°, And, 1.8', 15.0m, 
   52,  Gx,   3.650° /  18.550°, Peg,     , 14.0m, 
   50,  Gx,   3.675° /  -7.333°, Cet,     ,      , 
   53,  Gx,   3.675° / -60.333°, Tuc, 2.1',      , 
   55,  Gx,   3.725° / -39.183°, Scl,32.4',  8.0m, 
   54,  Gx,   3.775° /  -7.133°, Cet,     , 14.0m, 
   56,    ,   3.850° /  12.433°, Psc,     ,      , 
   57,  Gx,   3.850° /  17.300°, Psc,     , 13.0m, 
   59,  Gx,   3.875° / -21.450°, Cet,     , 13.0m, 
   60,  Gx,   4.000° /  -0.300°, Psc,     , 15.0m, 
I1537,    ,   4.000° / -39.317°, Phe,     ,      , 
   61,  Gx,   4.125° /  -6.233°, Psc,     , 15.0m, 
   62,  Gx,   4.275° / -13.467°, Cet,     , 14.0m, 
I   5,  Gx,   4.350° /  -9.550°, Cet, 0.8', 14.0m, 
   64,  Gx,   4.375° /  -6.850°, Cet,     , 14.0m, 
   63,  Gx,   4.425° /  11.450°, Psc, 1.9', 13.0m, 
I1538,    ,   4.500° /  30.067°, And,     ,      , 
   67,  Gx,   4.550° /  30.067°, And, 0.4', 16.0m, 
   68,  Gx,   4.575° /  30.067°, And, 1.5', 13.0m, 
   69,  Gx,   4.575° /  30.033°, And, 0.4', 14.8m, 
   70,  Gx,   4.600° /  30.083°, And, 1.7', 15.0m, 
   71,  Gx,   4.600° /  30.067°, And, 1.8', 13.0m, 
I1539,    ,   4.600° /  30.100°, And,     ,      , 
   72,  Gx,   4.625° /  30.033°, And, 1.4', 13.4m, 
   73,  Gx,   4.700° / -15.350°, Cet,     , 13.0m, 
   74,  Gx,   4.725° /  30.050°, And,     , 16.0m, 
I   6,  Gx,   4.750° /  -3.267°, Psc, 0.5', 14.0m, 
   65,  Gx,   4.775° / -22.900°, Cet,     , 15.0m, 
I   7,    ,   4.775° /  10.550°, Psc,     ,      , 
I   8,  Gx,   4.775° /  -3.217°, Psc, 0.7', 15.0m, 
   66,  Gx,   4.800° / -22.950°, Cet,     , 14.0m, 
   75,  Gx,   4.875° /   6.417°, Psc,     , 15.0m, 
   76,  Gx,   4.900° /  29.933°, And,     , 14.0m, 
I   9,  Gx,   4.925° / -14.117°, Cet, 0.4', 15.0m, 
I1540,    ,   4.950° /  23.717°, And,     ,      , 
   77,    ,   5.000° / -22.517°, Cet,     ,      , 
I1541,  Gx,   5.000° /  22.017°, And,     , 15.0m, 
I  12,  Gx,   5.075° /  -2.650°, Psc, 0.7', 16.0m, 
   78,  Gx,   5.100° /   0.817°, Psc,     , 14.0m, 
I  10,  Gx,   5.100° /  59.300°, Cas, 5.1', 10.3m, 
I  13,  Gx,   5.100° /   7.700°, Psc, 1.6', 15.0m, 
I  11,    ,   5.125° /  56.600°, Cas,     ,      , 
I1542,  Gx,   5.150° /  22.617°, And, 0.7', 15.0m, 
I1543,  Gx,   5.225° /  21.883°, And, 0.8', 14.0m, 
   79,  Gx,   5.250° /  22.567°, And,     , 15.0m, 
   80,  Gx,   5.300° /  22.350°, And, 2.5', 12.1m, 
   81,  Gx,   5.300° /  22.367°, And,     ,      , 
   87,  Gx,   5.300° / -48.633°, Phe,     ,      , 
   88,  Gx,   5.325° / -48.650°, Phe,     ,      , 
   89,  Gx,   5.325° / -48.683°, Phe,     ,      , 
I1544,    ,   5.325° /  23.033°, And,     ,      , 
I1545,    ,   5.325° /  21.983°, And,     ,      , 
   82,  Gx,   5.350° /  22.433°, And, 1.3', 14.0m, 
   83,  Gx,   5.350° /  22.433°, And, 1.6', 12.6m, 
   85,  Gx,   5.350° /  22.500°, And,     , 15.0m, 
   84,  Gx,   5.375° /  22.600°, And,     , 17.0m, 
   86,  Gx,   5.375° /  22.550°, And,     , 15.0m, 
   92,  Gx,   5.375° / -48.633°, Phe,     ,      , 
I1546,    ,   5.375° /  22.500°, And,     ,      , 
I1547,    ,   5.400° /  22.517°, And,     ,      , 
   91,  Gx,   5.450° /  22.417°, And, 2.5', 15.0m, 
   90,   *,   5.475° /  22.417°, And,     ,      , 
I1548,  Gx,   5.475° /  22.017°, And,     , 16.0m, 
   93,  Gx,   5.500° /  22.417°, And,     , 14.0m, 
   94,  Gx,   5.550° /  22.467°, And,     , 15.0m, 
   95,  Gx,   5.550° /  10.500°, Psc, 1.9', 12.6m, 
   96,  Gx,   5.575° /  22.550°, And,     , 17.0m, 
   97,  Gx,   5.600° /  29.733°, And,     , 13.0m, 
I  14,    ,   5.650° /  10.483°, Psc,     ,      , 
   98,  Gx,   5.700° / -45.267°, Phe, 1.8',      , 
I1549,    ,   5.800° /   6.983°, Psc,     ,      , 
  101,  Gx,   5.975° / -32.567°, Scl,     , 13.0m, 
   99,  Gx,   6.000° /  15.783°, Psc, 1.7', 14.0m, 
  100,  Gx,   6.000° /  16.483°, Psc, 5.8',      , 
  104,  Gb,   6.025° / -72.083°, Tuc,30.9',  4.0m, 47 Tuc
  102,  Gx,   6.100° / -13.950°, Cet,     , 14.0m, 
I1550,  Gx,   6.100° /  38.200°, And, 0.6', 15.0m, 
  106,  Gx,   6.175° /  -5.167°, Psc,     ,      , 
  103,  OC,   6.325° /  61.350°, Cas, 5.0',  9.8m, 
  105,  Gx,   6.325° /  12.883°, Psc, 1.2', 13.2m, 
  107,  Gx,   6.400° /  -8.283°, Cet,     ,      , 
  108,  Gx,   6.475° /  29.217°, And,     , 13.0m, 
  109,  Gx,   6.550° /  21.817°, And,     , 15.0m, 
  111,    ,   6.675° /  -2.633°, Cet,     ,      , 
  112,  Gx,   6.675° /  31.717°, And,     , 14.0m, 
  115,  Gx,   6.700° / -33.683°, Scl,     ,      , 
  121,  Gb,   6.700° / -71.533°, Tuc, 1.5', 10.6m, 
  113,  Gx,   6.750° /  -2.500°, Cet,     , 13.0m, 
  114,  Gx,   6.775° /  -1.783°, Cet,     , 15.0m, 
  119,  Gx,   6.775° / -56.983°, Phe,     ,      , 
  116,  Gx,   6.800° /  -7.700°, Cet,     , 14.0m, 
  117,  Gx,   6.800° /   1.317°, Cet,     , 15.0m, 
  118,  Gx,   6.825° /  -1.783°, Cet,     , 15.0m, 
  110,  OC,   6.850° /  71.383°, Cas,     ,      , 
  120,  Gx,   6.875° /  -1.517°, Cet, 1.8', 15.0m, 
I1551,  Gx,   6.900° /   8.883°, Psc, 2.7', 15.0m, 
  122,    ,   6.925° /  -1.633°, Cet,     ,      , 
  123,    ,   6.950° /  -1.600°, Cet,     ,      , 
  124,  Gx,   6.975° /  -1.817°, Cet, 1.6', 14.0m, 
I  16,  Gx,   6.975° / -13.083°, Cet, 0.5', 15.0m, 
I  15,    ,   7.000° /  -0.067°, Cet,     ,      , 
I  17,  Gx,   7.125° /   2.650°, Cet,     , 15.0m, 
I  20,  Gx,   7.125° / -13.000°, Cet, 0.6', 14.0m, 
I  18,  Gx,   7.150° / -11.567°, Cet, 0.6', 15.0m, 
I  19,  Gx,   7.175° / -11.633°, Cet, 0.6', 15.0m, 
  125,  Gx,   7.200° /   2.833°, Psc, 2.0', 12.3m, 
  126,  Gx,   7.275° /   2.817°, Psc, 1.4', 16.0m, 
  127,  Gx,   7.300° /   2.867°, Psc, 1.0', 14.0m, 
  128,  Gx,   7.300° /   2.850°, Psc, 3.4', 11.6m, 
I  21,  Gx,   7.300° /  -0.167°, Cet, 0.4', 14.0m, 
  130,  Gx,   7.325° /   2.867°, Psc, 0.9', 14.3m, 
  131,  Gx,   7.400° / -33.267°, Scl, 2.1',      , 
I  22,  Gx,   7.400° /  -9.050°, Cet, 0.6', 15.0m, 
I1552,  Gx,   7.400° /  21.483°, Psc, 1.1', 15.0m, 
  129,  OC,   7.475° /  60.233°, Cas,21.0',  6.5m, 
  132,  Gx,   7.550° /   2.100°, Cet, 2.0', 14.0m, 
  134,  Gx,   7.600° / -33.250°, Scl, 8.1', 10.1m, 
I  23,    ,   7.725° / -12.733°, Cet,     ,      , 
  138,  Gx,   7.750° /   5.167°, Psc,     , 15.0m, 
  139,  Gx,   7.750° /   5.083°, Psc,     , 15.0m, 
  137,  Gx,   7.775° /  10.183°, Psc,     , 14.0m, 
  133,  OC,   7.800° /  63.367°, Cas, 7.0',  9.0m, 
I  24,  OC,   7.800° /  30.850°, And,     ,      , 
I  25,  Gx,   7.800° /  -0.400°, Cet, 0.8', 15.0m, 
  140,  Gx,   7.825° /  30.783°, And,     , 14.0m, 
  142,  Gx,   7.825° / -22.617°, Cet,     , 14.0m, 
  141,  Gx,   7.850° /   5.183°, Psc,     , 15.0m, 
  143,  Gx,   7.850° / -22.567°, Cet,     , 15.0m, 
  144,  Gx,   7.850° / -22.650°, Cet,     , 14.0m, 
  136,  OC,   7.875° /  61.533°, Cas, 1.0',      , 
  145,  Gx,   7.925° /  -5.150°, Cet, 1.8', 12.8m, 
  135,    ,   7.950° / -13.367°, Cet,     ,      , 
I  26,    ,   7.950° / -13.333°, Cet,     ,      , 
I1553,  Gx,   8.175° / -25.583°, Scl, 1.0', 14.0m, 
  152,  Gb,   8.200° / -73.150°, Tuc,     , 12.0m, 
  146,  OC,   8.275° /  63.300°, Cas, 7.0',  9.1m, 
I  27,    ,   8.275° / -13.367°, Cet,     ,      , 
I  28,    ,   8.275° / -13.450°, Cet,     ,      , 
I1554,  Gx,   8.275° / -32.267°, Scl, 1.6',      , 
  147,  Gx,   8.300° /  48.500°, Cas,12.9',  9.3m, 
  149,  Gx,   8.425° /  30.717°, And,     , 15.0m, 
  151,  Gx,   8.500° /  -9.700°, Cet, 3.7', 11.5m, 
  153,    ,   8.500° /  -9.700°, Cet,     ,      , 
  154,  Gx,   8.525° / -12.650°, Cet,     , 14.0m, 
I  29,  Gx,   8.550° /  -2.183°, Cet, 0.6', 15.0m, 
  148,  Gx,   8.575° / -31.783°, Scl, 2.4', 12.1m, 
  150,  Gx,   8.575° / -27.800°, Scl, 4.2', 11.1m, 
I  30,  Gx,   8.575° /  -2.083°, Cet, 0.4', 15.0m, 
I  31,  Gx,   8.600° /  12.283°, Psc, 1.4', 15.0m, 
  156,  D*,   8.650° /  -8.350°, Cet,     ,      , 
  159,  Gx,   8.650° / -55.783°, Phe,     ,      , 
I1555,  Gx,   8.650° / -30.017°, Scl, 1.5',      , 
  155,  Gx,   8.675° / -10.767°, Cet,     , 13.0m, 
  157,  Gx,   8.700° /  -8.400°, Cet, 4.3', 10.4m, 
  158,    ,   8.725° /  -8.317°, Cet,     ,      , 
I  32,  Gx,   8.750° /  -2.133°, Cet, 0.4', 15.0m, 
I  33,  Gx,   8.775° /  -2.133°, Cet, 0.5', 15.0m, 
I1556,    ,   8.775° /  -9.567°, Cet,     ,      , 
  167,  Gx,   8.825° / -23.367°, Cet,     , 13.0m, 
  161,  Gx,   8.875° /  -2.833°, Cet,     , 15.0m, 
I1557,  Gx,   8.875° /  -2.850°, Cet, 0.6', 16.0m, 
I  34,  Gx,   8.900° /   9.133°, Psc, 3.4', 14.0m, 
  166,  Gx,   8.950° / -13.617°, Cet,     , 15.0m, 
  176,  OC,   8.950° / -73.183°, Tuc,     , 12.0m, 
I1558,  Gx,   8.950° / -25.367°, Scl, 3.4',      , 
  163,  Gx,   9.000° / -10.117°, Cet, 1.4', 12.8m, 
  160,  Gx,   9.025° /  23.950°, And, 3.2', 12.4m, 
  162,  Gx,   9.025° /  23.967°, And,     ,      , 
  164,  Gx,   9.125° /   2.750°, Psc,     , 16.0m, 
  165,  Gx,   9.125° / -10.100°, Cet, 1.6', 13.2m, 
  168,  Gx,   9.175° / -22.600°, Cet,     , 14.0m, 
  170,  Gx,   9.175° /   1.850°, Cet,     , 15.0m, 
  169,  Gx,   9.225° /  23.983°, And, 3.0', 13.0m, 
  174,  Gx,   9.225° / -29.483°, Scl,     , 14.0m, 
I1559,  Gx,   9.225° /  23.983°, And, 0.9',      , 
  173,  Gx,   9.300° /   1.933°, Cet, 3.5', 15.0m, 
  172,  Gx,   9.325° / -22.600°, Cet, 2.6',      , 
  171,    ,   9.350° / -19.933°, Cet,     ,      , 
  175,  Gx,   9.350° / -19.933°, Cet, 2.6', 12.1m, 
  177,  Gx,   9.375° / -22.567°, Cet,     , 13.0m, 
I  35,  Gx,   9.425° /  10.350°, Psc, 1.3', 15.0m, 
I1560,    ,   9.425° /   2.667°, Cet,     ,      , 
  179,  Gx,   9.450° / -17.883°, Cet,     , 14.0m, 
I  36,    ,   9.450° / -15.433°, Cet,     ,      , 
  180,  Gx,   9.500° /   8.633°, Psc, 2.6', 14.0m, 
  181,  Gx,   9.550° /  29.467°, And,     , 15.0m, 
  182,  Gx,   9.550° /   2.733°, Psc, 2.3', 12.6m, 
  183,  Gx,   9.575° /  29.500°, And,     , 14.0m, 
  184,  Gx,   9.625° /  29.433°, And,     , 15.0m, 
  186,  Gx,   9.625° /   3.150°, Psc,     , 15.0m, 
I  37,  Gx,   9.625° / -15.383°, Cet, 0.7', 15.0m, 
I1561,  Gx,   9.625° / -24.333°, Cet, 1.3', 14.0m, 
I  38,  Gx,   9.650° / -15.433°, Cet, 0.6', 14.0m, 
I1562,  Gx,   9.650° / -24.283°, Cet, 2.1',      , 
  190,  Gx,   9.725° /   7.033°, Psc, 1.0', 14.0m, 
  185,  Gx,   9.750° /  48.333°, Cas,11.5',  9.2m, 
  191,  Gx,   9.750° /  -9.000°, Cet, 1.5', 12.0m, 
I1563,  Gx,   9.750° /  -9.017°, Cet, 0.6',      , 
  178,  Gx,   9.775° / -14.167°, Cet, 2.0', 12.6m, 
  209,  Gx,   9.775° / -18.633°, Cet,     , 14.0m, 
I  39,    ,   9.775° / -14.167°, Cet,     ,      , 
I1564,    ,   9.800° /   5.967°, Psc,     ,      , 
  192,  Gx,   9.825° /   0.850°, Cet, 2.3', 14.0m, 
  193,  Gx,   9.825° /   3.333°, Psc, 1.7', 12.3m, 
  194,  Gx,   9.825° /   3.033°, Psc, 1.9', 12.1m, 
  196,  Gx,   9.825° /   0.900°, Cet,     , 14.0m, 
  197,  Gx,   9.850° /   0.883°, Cet,     , 15.0m, 
  198,  Gx,   9.850° /   2.800°, Psc, 1.3', 12.8m, 
I1565,  Gx,   9.850° /   6.717°, Psc, 1.7',      , 
I1566,  Gx,   9.850° /   6.800°, Psc, 0.6', 15.0m, 
I  40,  Gx,   9.875° /   2.433°, Cet, 1.2', 15.0m, 
  187,  Gx,   9.900° / -14.683°, Cet,     , 13.0m, 
  189,  OC,   9.900° /  61.067°, Cas, 4.0',  8.8m, 
  195,  Gx,   9.900° /  -9.200°, Cet, 1.3',      , 
